date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:05:18|office chair|OfficeDepot|-249.99
2023-04-16|13:22:47|website subscription|GoDaddy|-120.00
2023-04-17|08:55:10|payment received|Client A|2200.00
2023-04-17|15:13:59|laptop repair|TechFix|-145.75
2023-04-18|11:45:31|project fee|Client B|3400.00
2023-04-18|14:12:22|business cards|Vistaprint|-35.50
2023-04-19|12:11:10|coffee for office|Starbucks|-22.75
2023-04-19|17:22:33|software license|Adobe|-599.00
2023-04-20|09:45:50|invoice payment|Client C|5000.00
2023-04-20|14:13:45|monthly hosting|Bluehost|-89.99
2023-04-21|10:55:29|desk lamp|Ikea|-48.50
2023-04-21|12:32:14|freelance payment|Client D|1200.00
2023-04-22|15:44:20|printer paper|Staples|-30.45
2023-04-22|16:50:11|team lunch|Pizza Hut|-95.60
2023-04-23|09:15:22|monthly rent|Landlord|-1200.00
2023-04-23|12:30:45|consulting fee|Client E|4000.00
2023-04-24|11:13:50|external hard drive|BestBuy|-110.80
2023-04-24|14:20:31|business workshop|Eventbrite|-75.00
2023-04-25|10:33:44|freelance project|Client F|2500.00
2023-04-25|15:22:55|domain renewal|Namecheap|-12.99
2023-04-26|11:40:31|graphic design service|Designer|-450.00
2023-04-26|14:55:18|printer ink|Amazon|-67.25
2023-04-27|08:12:12|office supplies|Walmart|-35.40
2023-04-27|13:33:22|project deposit|Client G|1750.00
2023-04-28|11:15:55|catering for event|Local Catering|-220.00
2023-04-28|17:30:45|software update|Microsoft|-199.99
2023-04-29|09:47:10|project fee|Client H|3000.00
2023-04-29|14:13:12|team outing|Bowling Alley|-150.75
2023-04-30|10:12:33|freelance work|Client I|1800.00
2023-04-30|15:29:59|phone bill|Verizon|-89.90
2023-05-01|12:00:22|tax payment|IRS|-450.00
2023-05-01|14:20:11|product photoshoot|Photographer|-300.00
2023-05-02|09:17:55|consultation fee|Client J|2800.00
2023-05-02|15:22:20|office internet|Comcast|-95.00
2023-05-03|10:31:09|subscription renewal|Netflix|-13.99
2023-05-03|16:55:41|social media ads|Facebook|-200.00
2023-05-04|12:15:22|client payment|Client K|3500.00
2023-05-04|14:30:59|printer maintenance|PrinterFix|-85.75
2023-05-05|11:22:34|business cards|Moo|-44.90
2023-05-05|16:40:20|tax preparation fee|Accountant|-600.00
2023-05-06|09:35:14|project payment|Client L|5000.00
2023-05-06|12:18:25|team building event|Escape Room|-120.00
2023-05-07|10:12:44|charity donation|Local Charity|-150.00
2023-05-07|14:25:35|IT support service|TechHelp|-200.00
2023-05-08|13:12:20|client project fee|Client M|4500.00
2023-05-08|17:15:43|snacks for office|Local Market|-42.20
2023-05-09|11:55:30|consultation session|Client N|3200.00
2024-09-15|10:26:40.287361|new thing|fai|344.00
2024-10-15|10:26:40.287361|new thing|fai|344.00
2024-10-15|12:11:18.571645900|something i had to pay|friend|451.80
2024-10-16|11:16:24.384112700|new testing|fai|-400.00
2024-10-17|08:45:57.531029500|New test Deposit|test Vendor|684.60